address,closingHour,distance,externalCode,externalId,id,imageUrl,isOpen,latitude,longitude,name,openingHour,phoneNumber,scraped_at,source_url
Üzeyir Hacıbəyov 51,01:00,0,994K74021986,e37e1b66-dc6d-4c50-b55c-6ed239e90d9c,20,images/organization/a12ac239-e730-42e2-8461-60e6983cedb4_340x400_interior2.jpg,True,40.376579,49.858178,KFC Port Baku,09:00,994552052896,2026-02-23T19:43:02.150596+00:00,/tmp/kfc_branches.html
Azadlıq prospekti 22,23:00,0,994K74020472,f846e1ab-b728-41bc-a462-60b85337cb7a,21,images/organization/cd2f2872-9237-4e71-b303-d8b8d8ae241d_340x400_interior2.jpg,True,40.3792428,49.8465545,KFC 28 MALL,09:00,994555056542,2026-02-23T19:43:02.150596+00:00,/tmp/kfc_branches.html
Zahid Xəlilov 32,00:00,0,994K74022050,fab87c4e-2ecd-4021-8332-67d5f233a646,22,images/organization/51468795-1137-4160-ad8c-2a2284cfd508_340x400_interior2.jpg,True,40.3771433,49.8117623,KFC Elmlər,00:00,994512520155,2026-02-23T19:43:02.150596+00:00,/tmp/kfc_branches.html
Məhəmməd Naxçivani 1,01:00,0,994K74021652,ff0c3ec5-556a-46b0-9181-8e65dc227dce,23,images/organization/b4d98d47-cf2b-4b08-bafb-7181d272bad8_340x400_interior2.jpg,True,40.3829144,49.8237625,KFC Statistika,09:00,994552548191,2026-02-23T19:43:02.150596+00:00,/tmp/kfc_branches.html
Sarayevo 55,01:00,0,44089496,557c516e-6846-4503-889c-61442bd6281a,24,images/organization/19751d08-9ba4-488b-8467-ebf2567e646c_340x400_interior2.jpg,True,40.3866563,49.957248,KFC Əhmədli,09:00,994992010501,2026-02-23T19:43:02.150596+00:00,/tmp/kfc_branches.html
Alı Mustafaev 8,00:00,0,994K44092426,11bd1e75-e3aa-40cf-be7a-154e7ff65a75,25,images/organization/3127ccae-d36f-48ea-b6e2-91f0309667da_340x400_interior2.jpg,True,40.4059375,49.8148495,KFC 3 MKR,00:00,994992010512,2026-02-23T19:43:02.150596+00:00,/tmp/kfc_branches.html
"A.Bakixanov küç., 62 ",00:00,0,994K44089498,5ea27818-de94-40a3-82f7-f35959013345,26,images/organization/c30252b6-4ed1-41d2-beb4-2c980fed54e6_340x400_interior2.jpg,True,40.391547,49.8481169,KFC Zoopark,00:00,994992010507,2026-02-23T19:43:02.150596+00:00,/tmp/kfc_branches.html
"SUMQAYIT ŞƏHƏRİ, Bakı küç 34",01:00,0,44094257,848509ae-e381-47fd-aa85-6b3c253c1407,1025,images/organization/e1bb0374-fb0f-458b-a542-22e5e58efa6b_340x400_interior2.jpg,True,40.5855907,49.6647893,KFC Sumqayıt Plaza,09:00,994992010568,2026-02-23T19:43:02.150596+00:00,/tmp/kfc_branches.html
"XIRDALAN ŞƏHƏRİ Mehdi Hüseynzade kuç., 673",00:00,0,44095542,0f22d19a-0802-4497-909e-7b68d7714ae0,1026,images/organization/5b6a5752-948a-442f-bb1e-77c4729eabcd_340x400_interior2.jpg,True,40.4510836,49.7352962,KFC Xırdalan,00:00,994512407795,2026-02-23T19:43:02.150596+00:00,/tmp/kfc_branches.html
Cəfər Xəndan 182A,00:00,0,44093438,7365b958-d60a-44b8-ba0a-3ad7bf23c913,1027,images/organization/ead80756-4fb6-4e49-b1ef-a21546f92562_340x400_interior2.jpg,True,40.4180847,49.8428303,KFC 8 MKR,00:00,994992010553,2026-02-23T19:43:02.150596+00:00,/tmp/kfc_branches.html
Buzovna-Mərdəkan şossesi,01:00,0,44094056,1ede77f2-0e88-485d-83a9-c40018568660,1028,images/organization/4352886d-65f6-494a-90e5-350604d21823_340x400_interior2.jpg,True,40.4978409,50.1719427,KFC Mərdəkan,09:00,994992010561,2026-02-23T19:43:02.150596+00:00,/tmp/kfc_branches.html
Neftçilər Prospekti 153,23:00,0,44093195,c4c46b1a-715e-4acb-aacc-ebc0187a4b83,1029,images/organization/699e0040-d732-4e69-a491-8d603dba88e1_340x400_interior2.jpg,True,40.3740722,49.8603585,KFC Crescent Mall,10:00,994992010547,2026-02-23T19:43:02.150596+00:00,/tmp/kfc_branches.html
Fikrət Məmmədov 23 Dosa mall,23:00,0,44090243,d5148a33-26ae-443f-ba7a-11300eaf4b5c,1030,images/organization/cad7a366-64db-4dfd-b27b-8f7fdd1f5bc6_340x400_interior2.jpg,True,38.753803,48.8525695,KFC Lənkəran,09:00,994552506636,2026-02-23T19:43:02.150596+00:00,/tmp/kfc_branches.html
Babək prospekti 28,23:00,0,44094537,7b4681f3-aceb-4229-a5e0-c2306cb1119b,1031,images/organization/f70af2d9-ca4e-4146-b06c-2e3731bfd53e_340x400_interior2.jpg,True,40.389349,49.891204,KFC Citypark Mall,10:00,994992010570,2026-02-23T19:43:02.150596+00:00,/tmp/kfc_branches.html
Şixəli Qurbanov küç 23,00:00,0,44094941,eea6fb77-113f-4e1b-999e-b6e1a6c84030,1032,images/organization/6b08336e-012b-4e28-85a1-c2f212a9b6b4_340x400_interior2.jpg,True,40.378770409364,49.830718741386,KFC Nizami Mall,00:00,994992010577,2026-02-23T19:43:02.150596+00:00,/tmp/kfc_branches.html
C.Naxçivanski 88Q,01:00,0,44095543,ace553c8-2613-462e-b4b3-94bdb933384c,1033,images/organization/988506cb-9d4b-4b4c-a2f4-b5fb578b45ba_340x400_interior2.jpg,True,40.4076306,49.9552926,KFC Podium Mall,09:00,994992010590,2026-02-23T19:43:02.150596+00:00,/tmp/kfc_branches.html
Xanlar 10,01:00,0,3,40106fb1-5239-40b0-909e-eee01df336f4,1035,images/organization/76bbd0db-fad4-489f-814d-4158603ed651_4352886d-65f6-494a-90e5-350604d21823_340x400_interior2.jpg,True,40.35133,49.8325674,KFC Sabah,09:00,994992090503,2026-02-23T19:43:02.150596+00:00,/tmp/kfc_branches.html
Mərdəkan şosesı 106,00:00,0,44096704,6fb82cf1-5b20-4562-b6eb-206a038bfc17,1038,images/organization/5396b15f-550b-4ed0-9eae-6beafbd62d5b_4352886d-65f6-494a-90e5-350604d21823_340x400_interior2.jpg,True,40.471607,50.105586,KFC Rahat,00:00,994992090502,2026-02-23T19:43:02.150596+00:00,/tmp/kfc_branches.html
"Baku, Baku, Анвар Гасымзаде",01:00,0,3,5364473f-c041-41f8-8cbd-ed1e2f2eb1c9,1039,images/organization/2a0fe84e-a381-4854-accb-23767fb4cd92_5396b15f-550b-4ed0-9eae-6beafbd62d5b_4352886d-65f6-494a-90e5-350604d21823_340x400_interior2.jpg,True,40.341278,49.8105848,KFC Badamdar,09:00,994992090543,2026-02-23T19:43:02.150596+00:00,/tmp/kfc_branches.html
"Baku, CX69+8FJ, Bakikhanov Trade Center S.Qocayev küç Baku",01:00,0,44097790,6d47cf14-361d-4dc4-9417-0fa88cb200e1,1040,images/organization/737a60f7-d2bd-4944-ad6b-5cdec429a4e5_5396b15f-550b-4ed0-9eae-6beafbd62d5b_4352886d-65f6-494a-90e5-350604d21823_340x400_interior2.jpg,True,40.4108371,49.9686554,KFC Bakixanov 2,09:00,994992090557,2026-02-23T19:43:02.150596+00:00,/tmp/kfc_branches.html
"Ganja, Ganja",01:00,0,44097994,14bbb87f-cc96-467a-bf80-4a10c07a9234,1042,images/organization/3045bba6-8d06-49d7-b4a0-eb351fefe84b_5396b15f-550b-4ed0-9eae-6beafbd62d5b_4352886d-65f6-494a-90e5-350604d21823_340x400_interior2.jpg,True,40.6840631,46.3628411,KFC Gəncə drive ,09:00,994992090561,2026-02-23T19:43:02.150596+00:00,/tmp/kfc_branches.html
